Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABn8S9pt4mes1pGtm3uNkLk3ce8kVNAtMgBO80N3v0TYgM-ktepttqjbr4Sy3RJUEIxsaA035oYfDmWFA3gZ2bP8jvFfUw7FpFyEO11OmwxP1uPWes=
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABn8S9ppKNX38qD4hbBXE0c26_fc4j1hbd8AGS1vtOOmXxpHw_P07WnXCAs4RqsvIwDv4LOMMuzZGwUkC8p2F7-utsgdEd1wEptsJX8cBBy3uPOuPI=
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABn8S9pQ7xPViONURdxdwtsrQIQEuLklUF559WESYX1DXuEUcguPlDL9LviDuVOBjEEpMgOF530bpHhmfOQsXlyGS8fKlkS8xmFNpyaZ0S9hGoJJOA=
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABn8S9pz601u6j64ubvUFOf0YBuG8rHbfqW9AnNbhwITfFDimvm8QsoISxI0iXsoRUbrQZtvzI0xccgoTM3-K1z6hqJMXNf5QNJkFcsiCyFm6cyxDE=
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABn8S9pEmpfNKQZ5BvZn4AgmZkoU4FXNd4yuMnHIwpHxGrK46ukDXjTU4gPon04XER-szGzwsTqh-CD_-Sty-PUQowNaEYbEEVEDX1LY0AFvrKI2PM=
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABn8S9ppdZ_MyRfWA2Kowep_Ioz8sgvF_gujhkt5ueJ5lqbMuhnRvpHLnxeEGcYWs-GJ88mib4lYy6mt391gex_f-URom45hD031cZbQKD5wr634TA=
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABn8S9pTU5-34rufE8RdkhiexuBK5B-9EMlMYGFtn6f3EELWtd4j_fOYMRXsENPJkSkrMM1kr85X2sXJXKnj3oWUPd8CZWXhWHi3AR2yjUMPlXdtQo=
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABn8S9p9p60Seh7_6QpRQI4lxqrp5hBF7MY-KsGNwahWbBl98PwubMUOCQN9u9srvMrX3OmVJWbtFKAewRgDLsdAZR_WDFwT2pMvkg_0Bw4EjABNiw=
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABn8S9ppsy1t2V--pCp009ZsiffM1P6AguHqRwKoLHh-INeoQ5TV9rPmsixF8mpSBficTs-6lIsEVaNt6OlQQurZNISTBZwg2g9fOlWSg5UC1es5lk=
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABn8S9puvS0CnJEgG5aVYS0TCFZzXkvEMHHnAvRwLdGbfGJcZzChruxoZVkt4wvmvSxNjuF3y8Vxn7_Dybv52oI7p5q0AZrDNUkZvseENRZBPLRmcg=
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,cc5d53247bb05bf452e7a6fb5f299dd4e7b77719007d2f200ab2fb497c02e29c,gAAAAABn8S9pVuW-YqSpKBRU7bqhYm-hHWN_BodEsW1tABBb8iJ-4cVZsstxKeeL5A9Z5GSFy83pgTyrWH9pr_cxjLeksMj1bIhd60a6vRSKLsRjt0CHDGU=
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,06b3c6ca37e5fef3ba7f69c3b11f896842f0e9f4bfba72137e429be10171e1d4,gAAAAABn8S9pduUX6VrsUQYElg5rhhXRTYfr266A7kyXJpRrJEcAVyPaNvAoKR8CiiTjKZv8twozvrc2hqmoF0wsyxvCf6kq-5b8AvH8WnXN-go1fsgyMb8=
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,1c3514d02fadb490459d0621f8dbb4840dad5e1467ec32970d1c56ec0a074452,gAAAAABn8S9pQS0VzXG2uIBZxkbwFLnQcnOyS-zp2I3kci08DLFSanYOpoLPon9dHFVrKV3ucfXHNlqFMsxgk3dyfWDT_DmE4l87qoEp0fMeVnuTzmLdEAM=
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,befd86541b00a1beea95c3c064e3b21738217b541cea9ae39e76d682df68a607,gAAAAABn8S9p2Cg8geXzApiMFanxsy_fCu-QWFY08tIyTgHheGlkZjX8uWZub5Kju1jJt7pvQEUwztGWwcfb1c5Y0MqGecB5xE4ngZKJcIA9quIg7Xfe4bQ=
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,a32e8112ad4cca6a4c5b4678e9a84823ea26fe724850bb8cd552aa77253725ac,gAAAAABn8S9pNKnWWKL9RGLKrQb7WRP6tHqCYGqCvneFMgCeu75BQAZ785RDwaGSu7wuvAmdKAgAvWhQUz_fg46Gq3va1-cB0zF4qPxl3OR-dYflwHwssCg=
HP,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205,4420f8ed435ae6dc11e3dc607559dac0f8f97e03fb44dfdbee0d3cad3dfdba7e,gAAAAABn8S9p83D8ALdTBb2e49kzA7UpKFdSYk1fQBoOI3hhme6v6D2zTrL35Ul3zBq9DQqu6ZV4Ici-fadUzPVcNaIOG5VSsq-IYeGdfNfqbfoks_CXtWw=
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447,da2d995346a35c31f2cb036ddd79a0f5a9a4140da81b88c8c7419a60fef40691,gAAAAABn8S9pD_htxqS_DYyQ1bLWmsE2DOChsbn8dAaVY2liHBLYvvnNdX8DeMHJjABNW4AH-olbHxcqDq1OEckeojxhLTlFGrjmhtF4czlC70PH64GseHQ=
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083,d8763bc92b2968e21aba7a08f16922ca22d9c5248a821c374ced1c8603cde768,gAAAAABn8S9pXGS7fyoy7C59dbK1agF9wgo-_Af3GIn3_x0BurR-QiuLYK1Ji_PsivSAYkvdOA8N8ecHQ1mdBe5yx62bqSkmNsJWX2B3a_EReVOVMcsOWMw=
Dell,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962,00efcb1507b5ab10a2e80b37f59ea694bd3b66f7ad09eb9310f3cf9b61bbc826,gAAAAABn8S9pi1MQ60-Vu67fOm34SeRnvyULvgCRIy1CqPW_MOmRMbP0LQE98YpkiaZy9HpTe5c1TW1y7Ei03EmLU0ae9Z09Plhc2CIXmJTL-CbCLPICV8M=
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388,930869f03827b8fa2e51641ee24f5bddb5e01a20a0d0575dad7f009c3f54e02d,gAAAAABn8S9pbm3UBR1GxanMU4KahoSN55ciW0jn8QsYFwqkmH1WgCMhix2WDGmVxz0WhYmch5hDstVuANC5WGFNZq2Fo-Zvut_ynVo4dtlmpBNR5Et7x1I=
HP,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408,02ef9675ecf6c0700c0986428113b2d9f188e11c68256e5bffd9d5d19577984c,gAAAAABn8S9pRrdWZMVGIHjEe2NeMoTSs0n6bPLhwG5DDZ4x6j6RaNa0X6lDwMVoCkzGyzuvmd6AxeIBRthjUyQnFg-DSGEyd9yFVJ6_Vb8IODqvbOj1gSo=
Acer,2.4975067596753258,16,1000,16.059668545618415,3.231487382181664,32025.836689022144,fb3010b57354259609e2272ea204296bd8b47c3d478f52bcd58c35afae20ee9b,gAAAAABn8S9poTacQsXKPHHqwfBE5jWBx0eXFqKwWq0t0noahhdRXb0dHLfao3ATaYL3ZV7EYSWTJLAg6kT559NKq4J7EjZTi0F-viznG9ySJ4Qe-jLf5WM=
Asus,1.6369040970550783,32,1000,11.585085953845384,2.490009944267172,32764.274431192796,cbae35da1050476bf6a78fd4f3dced832ea62d45e530cfadb2ef28a46a34e3e0,gAAAAABn8S9pMk7eVktEWiqA_kiTeMvROsCzJUQmz02hTXQXnBbFELXS5ea0_716-sf71qGt0cfuT6L0QoMnFDCgifu8im2MRPUQGScKEE5H498dr8p4ssc=
Dell,2.3379931041147524,16,1000,14.353883804598643,2.665345934576956,32114.82080257049,ed452aaa31a310735f7ffcd56cb9248651bd8acbd6c69fb96fafc6953236dd84,gAAAAABn8S9pbsIgCIVwdyQrS54bp7aomNPE7iynG8bv9KNqUeFTl5lIW653UcOK47Zh9H5LUXBAzzvmVsdJUDcaStA5xOIs7fshkwmrWtnLTAHGkezbHuY=
